id,judul,daerah,pulau,kategori,tokoh,ringkasan,teks,nilai_moral,kata_kunci,sumber,lisensi
CR-071,Danau Tondano,Sulawesi Utara (Minahasa),Sulawesi,Legenda Asal-usul,Tona’as; Putri Ular; Warga Minahasa,Perkawinan manusia dan putri ular memicu bencana saat pantangan dilanggar; lembah terisi air menjadi Tondano.,"Seorang tona'as menikahi putri jelmaan ular dengan pantangan tertentu.
Ketika pantangan diabaikan, banjir besar menggenangi lembah.
Mereka menyelamatkan diri ke bukit; air menetap menjadi Danau Tondano.
Warga lalu menjaga pantangan sebagai bagian adat Minahasa.",Hormati pantangan; Jaga adat; Tanggung jawab,tondano;minahasa;putri ular;banjir,Tradisi lisan Minahasa,CC0 (retelling original)
CR-072,Putri Hijau,Sumatera Utara (Deli),Sumatra,Legenda,Putri Hijau; Raja Aceh; Pangeran Deli,Putri jelita berubah menjadi meriam saat direbut paksa; jejaknya dikenang dalam benda pusaka.,"Raja dari utara memaksa meminang Putri Hijau.
Pertempuran meletus; dalam kepungan, putri menjelma meriam menghantam kapal musuh.
Setelah itu ia lenyap, hanya tinggal pusaka dan kisahnya.
Rakyat Deli mengenangnya sebagai martabat yang tak mau ditundukkan paksa.",Martabat; Menolak paksaan; Keberanian,deli;putri hijau;meriam;pusaka,Tradisi lisan Deli Serdang,CC0 (retelling original)
CR-073,Guru Tatea Bulan,Sumatera Utara (Batak),Sumatra,Mitos Leluhur,Guru Tatea Bulan; Keturunan Marga; Batara Guru,Leluhur Batak membagi keturunan ke berbagai marga; adat disusun untuk menjaga keseimbangan.,"Dari puncak gunung, Guru Tatea Bulan menurunkan anak-anak yang menjadi asal marga.
Ia menetapkan sapaan, larangan, dan cara menyelesaikan sengketa.
Dengan adat itu, orang Batak saling mengenal hubungan dalihan na tolu.
Mitos menjadi pedoman hidup bersama.",Adat sebagai pedoman; Kekerabatan; Keseimbangan,batak;marga;dalihan na tolu;leluhur,Tradisi lisan Batak,CC0 (retelling original)
CR-074,Batu Cermin,Nusa Tenggara Timur (Labuan Bajo),Nusa Tenggara,Legenda Tempat,Nelayan; Penjaga Goa; Cahaya Pagi,Goa batu memantulkan cahaya seperti cermin; diyakini hadiah dari penjaga laut bagi nelayan jujur.,"Nelayan miskin tersesat dan berlindung di goa saat badai.
Pagi hari, sinar matahari memantul di dinding batu, menerangi jalannya pulang.
Ia berjanji jujur dalam menimbang ikan dan berbagi hasil.
Goa itu disebut Batu Cermin—cahaya yang memantulkan hati.",Kejujuran; Syukur; Berbagi hasil,labuan bajo;batu cermin;goa;cahaya,Tradisi lisan Manggarai,CC0 (retelling original)
CR-075,Danau Sentarum,Kalimantan Barat (Kapuas Hulu),Kalimantan,Legenda Asal-usul,Dayak Iban; Penjaga Rawa; Nelayan,Rawa-rawa luas menjadi danau musiman akibat sumpah penjaga hutan pada musim kemarau dan hujan.,"Penjaga hutan bersumpah menahan sungai agar ikan berbiak.
Saat musim hujan, air meluap memenuhi cekungan; ketika kemarau, air surut menampakkan daratan.
Warga memanen secukupnya mengikuti musim—itulah Sentarum.
Siapa serakah, akan tersesat oleh kabut rawa.",Kelola musim; Ambil secukupnya; Jaga rawa,sentarum;rawa;musiman;dayak iban,Tradisi lisan Kapuas Hulu,CC0 (retelling original)
CR-076,Batu Baginde,Kep. Bangka Belitung (Belitung),Sumatra,Legenda Tempat,Baginde; Istrinya; Nelayan Belitung,Sepasang batu granit raksasa di pantai dipercaya jelmaan pasangan yang menjaga laut Belitung.,"Baginde dan istrinya berdoa agar laut tenang bagi nelayan.
Mereka menjaga pantai hingga usia senja, lalu menghilang.
Di pantai muncul dua batu granit besar mirip pasangan.
Warga menyebutnya Batu Baginde—penjaga pantai yang setia.",Kesetiaan; Jaga pantai; Doa untuk pelaut,belitung;batu baginde;granit;pantai,Tradisi lisan Belitung,CC0 (retelling original)
CR-077,Nusa Penida & Jero Gede Mecaling,Bali (Nusa Penida),Bali,Mitos,Jero Gede Mecaling; Pendeta; Warga,Pulau dianggap tempat pembuangan kekacauan. Rakyat memohon agar kekuatan gelap menjadi penetral bencana.,"Ketika wabah melanda, orang percaya kekuatan gelap datang dari Nusa Penida.
Pemuka adat memohon pada Mecaling agar amarahnya dialihkan menjadi pelindung.
Sejak itu, upacara diadakan untuk menghormati dan menetralkan bala.
Kehidupan menjadi seimbang antara pengusir dan penarik bala.",Mengelola takut; Keseimbangan; Upacara bersama,nusa penida;mecaling;upacara;wabah,Tradisi lisan Bali Nusa Penida,CC0 (retelling original)
CR-078,Batu Kapal Mentawai,Sumatera Barat (Kep. Mentawai),Sumatra,Legenda Tempat,Pelaut; Roh Laut; Tetua Uma,Kapal yang melanggar pantangan karam dan membatu; jadi peringatan bagi pelaut menjaga adat.,"Pelaut luar melanggar pantangan dengan menebang bakau keramat.
Ombak menelan kapal; pagi harinya karang menyerupai lunas dan haluan.
Warga menyebutnya Batu Kapal sebagai peringatan untuk hormat pada bakau dan laut.",Jangan langgar pantangan; Lindungi bakau; Hormat laut,mentawai;batu kapal;bakau;adat,Tradisi lisan Mentawai,CC0 (retelling original)
CR-079,Fumeripits (Asal-usul Asmat),Papua Selatan (Asmat),Papua,Mitos Leluhur,Fumeripits; Burung Kasuari; Patung Kayu,Seorang leluhur memahat manusia dari kayu dan meniupkan hidup dengan tifa; lahirlah orang Asmat.,"Fumeripits selamat dari banjir besar dan hidup di rimba sagu.
Ia memahat patung dari kayu mangrove, lalu menabuh tifa hingga patung bernapas.
Patung-patung itu menjadi manusia pertama suku Asmat.
Sejak itu ukiran adalah napas hidup dan penghormatan pada leluhur.",Kreativitas; Hormat leluhur; Roh dalam seni,asmat;fumeripits;tifa;ukiran,Tradisi lisan Asmat,CC0 (retelling original)
CR-080,Maleo dan Pasir Panas,Sulawesi Tengah/Gorontalo,Sulawesi,Legenda Asal-usul,Burung Maleo; Penjaga Hutan; Anak-anak,"Maleo diajari menanam telur di pasir panas agar aman dari pemangsa, menyisakan pesan konservasi.","Burung Maleo resah karena telurnya dimangsa biawak.
Penjaga hutan mengajarinya menggali pasir panas di tepi gunung api kecil.
Telur menetas dengan hangat bumi; anak-anak diminta tak mengambilnya sembarangan.
Maleo menjadi simbol kerja sama manusia dan alam.",Konservasi; Kolaborasi manusia-alam; Tanggung jawab,maleo;pasir panas;telur;konservasi,Tradisi lisan Sulawesi,CC0 (retelling original)
CR-081,Danau Linow,Sulawesi Utara (Tomohon),Sulawesi,Legenda Asal-usul,Naga Danau; Tetua; Rakyat Tomohon,Danau berubah warna karena naga penjaga berpindah tempat; warga diminta menjaga kata hati.,"Naga penghuni danau bergerak mengikuti doa manusia.
Saat hati manusia keruh, danau memucat; ketika damai, warna berkilau.
Tetua meminta warga menjaga tutur dan perilaku di sekitar danau.",Jagalah hati; Harmoni; Tempat suci,linow;tomohon;naga;warna,Tradisi lisan Minahasa,CC0 (retelling original)
CR-082,Dewi Anjani (Rinjani),Nusa Tenggara Barat (Lombok),Nusa Tenggara,Mitos,Dewi Anjani; Rakyat Sasak; Pendaki,Penguasa gunung Rinjani melindungi hutan dan danau; pendaki diminta sopan dan menjaga kebersihan.,"Di puncak Rinjani bersemayam Dewi Anjani.
Ia menyukai hutan yang rimbun dan air yang jernih.
Orang yang sombong dan merusak sering tersesat oleh kabut.
Pendaki diajari menyapa alam sebelum melangkah.",Sopan di alam; Jaga hutan; Rendah hati,rinjani;anjani;segara anak;sasak,Tradisi lisan Sasak,CC0 (retelling original)
CR-083,Dewi Danu dan Danau Batur,Bali (Kintamani),Bali,Mitos Air,Dewi Danu; Petani Subak; Gunung Batur,Dewi Danu mengatur aliran air dari Danau Batur melalui subak agar sawah makmur.,"Ketika sawah kering, petani memohon pada Dewi Danu.
Ia mengatur aliran dari Danau Batur melalui teras dan terowongan air.
Subak lahir sebagai kesepakatan adil membagi air.
Padi kembali menguning, dan orang berjanji menjaga hulu air.",Keadilan berbagi; Jaga hulu; Kebersamaan,danu;batur;subak;air,Tradisi lisan Bali,CC0 (retelling original)
CR-084,Pulau Weh (Terpisah dari Sumatra),Aceh (Sabang),Sumatra,Legenda Asal-usul,Pelaut Aceh; Penjaga Samudra; Ikan Besar,Pulau Weh dipercaya terpisah karena hentakan makhluk laut raksasa saat manusia serakah menebang hutan pantai.,"Ketika hutan pantai ditebang tanpa sisa, ombak jadi ganas.
Makhluk laut raksasa menghentak dasar samudra; tanah terbelah.
Bagian tanah terpisah menjadi Pulau Weh—'weh' berarti terlepas.
Sejak itu, nelayan menjaga hutan pantai demi tenangnya gelombang.",Jaga hutan pantai; Jangan serakah; Harmoni maritim,sabang;pulau weh;aceh;samudra,Tradisi lisan Aceh,CC0 (retelling original)
CR-085,Batu Lubang,Gorontalo,Sulawesi,Legenda Tempat,Gadis; Ibu; Penunggu Tebing,Gadis yang durhaka diubah menjadi lubang besar di tebing; jalan tembus mengingatkan agar taat pada ibu.,"Seorang gadis malu pada ibunya yang sederhana.
Ia berbohong di depan orang banyak.
Tebing tempat ia berdiri berlubang dan menelannya.
Lubang itu kini menjadi jalan tembus yang disebut Batu Lubang.",Hormati ibu; Jujur; Jangan malu asal-usul,gorontalo;batu lubang;tebing;durhaka,Tradisi lisan Gorontalo,CC0 (retelling original)
CR-086,Gunung Tangkiling (Lovers Turned to Stone),Kalimantan Tengah (Palangkaraya),Kalimantan,Legenda,Sangiang; Sukanegara; Tetua Dayak Ngaju,Sepasang kekasih melanggar adat; tubuh mereka membatu menjadi bukit-bukit Tangkiling.,"Sangiang dan Sukanegara saling mencinta namun beda marga.
Mereka melanggar larangan perkawinan adat.
Petir menyambar; tubuh mereka membeku menjadi batu-batu bukit.
Warga menamai tempat itu Tangkiling agar adat tak dilupa.",Hormat adat; Musyawarah keluarga; Taat larangan,tangkiling;dayak ngaju;adat;bukit batu,Tradisi lisan Kalteng,CC0 (retelling original)
CR-087,Danau Ranau,Lampung Barat/Sumatera Selatan,Sumatra,Legenda Asal-usul,Petani; Ikan Raksasa; Penunggu Gunung Seminung,Ikan raksasa yang ditangkap memicu gempa; cekungan besar terisi air menjadi Danau Ranau.,"Seorang petani menangkap ikan raksasa di sungai kecil.
Saat ikan menggelepar, bumi bergetar; gunung runtuh menciptakan cekungan besar.
Air mengisi cekungan menjadi Danau Ranau.
Orang berjanji tidak mengambil lebih dari yang perlu.",Ambil secukupnya; Jaga keseimbangan; Syukur,ranau;seminung;ikan raksasa;gempa,Tradisi lisan Lampung-Sumsel,CC0 (retelling original)
CR-088,Goa Kreo (Penjaga Monyet),Jawa Tengah (Semarang),Jawa,Legenda Tempat,Sun Krewu (Kreo); Monyet; Warga,Sekelompok monyet dipercaya penjaga goa dan bendungan; pelit dan kasar sering celaka.,"Pengelana mencari batu untuk membangun tempat ibadah.
Ia menitipkan batu pada kawanan monyet di goa.
Sejak itu monyet menjaga goa dan bendungan dari tangan jahil.
Siapa yang pelit dan kasar sering tergelincir oleh ulah mereka.",Jaga titipan; Santun; Jangan serakah,goa kreo;monyet;semarang;penjaga,Tradisi lisan Semarang,CC0 (retelling original)
CR-089,Tambun Bungai,Kalimantan Tengah (Kapuas),Kalimantan,Legenda Pahlawan,Tambun; Bungai; Dayak Ngaju,Dua pahlawan Dayak Ngaju melindungi kampung dari perompak; adat dan hutan dijaga bersama.,"Tambun dan Bungai bersumpah melindungi sungai dari perompak.
Mereka menegakkan hukum adat dan melarang tebang hutan sembarangan.
Kampung aman dan sungai jernih.
Nama mereka diingat saat gotong royong membuka ladang.",Keberanian; Hukum adat; Jaga hutan sungai,tambun bungai;dayak;kapuas;adat,Tradisi lisan Dayak Ngaju,CC0 (retelling original)
CR-090,Karapan Sapi (Asal-usul),Jawa Timur (Madura),Jawa,Legenda Seni,Kyai; Petani Garam; Sapi Balap,Tradisi balapan sapi lahir dari cara cepat mengolah tanah garam; kemudian jadi pesta adat.,"Petani garam mencari cara meratakan lahan dengan cepat.
Seorang kyai menyarankan melatih sapi menarik landasan ringan.
Lomba ramah berubah menjadi tradisi karapan sapi.
Orang merayakan kerja keras dengan sportivitas.",Kerja keras; Sportivitas; Tradisi dari kerja,madura;karapan sapi;garam;tradisi,Tradisi lisan Madura,CC0 (retelling original)
CR-091,Loro Blonyo (Sepasang Dewata Rumah),Jawa Tengah/DI Yogyakarta,Jawa,Legenda Rumah Tangga,Loro; Blonyo; Pengukir,Sepasang arca dianggap penjaga harmoni rumah; ditempatkan di pelaminan dan ruang tamu.,"Pengukir membuat arca pasangan yang memancarkan teduh.
Warga merasa rumah lebih damai ketika arca ditempatkan di sudut.
Arca disebut Loro Blonyo—simbol rukun, rezeki, dan kesuburan.",Rukun; Saling menghormati; Syukur,loro blonyo;arca;jawa;rumah,Tradisi lisan Jawa,CC0 (retelling original)
CR-092,Bajo & Laut (Orang Laut),Sulawesi Tenggara/NTT,Sulawesi/Nusa Tenggara,Legenda Asal-usul,Leluhur Bajo; Ikan Penuntun; Samudra,Leluhur Bajo mengikuti ikan penuntun hingga menemukan teluk-teluk teduh; mereka berjanji menjaga laut.,"Leluhur bermimpi tentang ikan yang memimpin ke teluk teduh.
Mereka mengayuh perahu mengikuti bintang dan arus.
Di teluk aman, mereka berjanji hidup bersahabat dengan laut dan tidak merusaknya.",Harmoni laut; Menjaga ekosistem; Nomaden bijak,bajo;orang laut;teluk;perahu,Tradisi lisan Bajo,CC0 (retelling original)
CR-093,Danau Kakaban (Ubur-ubur Tanpa Sengat),Kalimantan Timur (Derawan),Kalimantan,Legenda Asal-usul,Penjaga Karst; Ubur-ubur; Nelayan,Laut yang terperangkap menjadi danau; ubur-ubur kehilangan sengatnya dan menjadi sahabat manusia.,"Tebing karst menutup teluk kecil dan memerangkap air laut.
Waktu berjalan, air jadi danau dan ubur-ubur beradaptasi tanpa sengat.
Nelayan dilarang mengambilnya—mereka adalah penanda kesucian perairan.",Jaga keunikan alam; Larangan demi kelestarian; Rasa ingin tahu bijak,kakaban;derawan;ubur-ubur;karst,Tradisi lisan pesisir Berau,CC0 (retelling original)
CR-094,Gunung Batok,Jawa Timur (Tengger),Jawa,Legenda,Raksasa; Bidadari; Rakyat Tengger,"Raksasa membawa batok kelapa berisi pasir untuk menutup lembah, tetapi gagal dan pasirnya jadi gunung.","Raksasa jatuh cinta pada bidadari dan menantang membuat bukit semalam.
Ia membawa pasir dalam batok raksasa.
Ayam berkokok sebelum selesai; pasir tumpah menjadi Gunung Batok.
Raksasa gagal, dan bidadari bebas memilih hidupnya.",Kejujuran dalam syarat; Jangan memaksa; Ketetapan alam,batok;bromo;tengger;pasir,Tradisi lisan Tengger,CC0 (retelling original)
CR-095,Reog Singa Depok (Varian Betawi),DKI Jakarta (Betawi),Jawa,Legenda Seni,Singa Depok; Jawara; Warga,"Pertunjukan topeng singa menjadi penolak bala kampung, mengajarkan kebersamaan.","Kampung di pinggir hutan kerap diganggu binatang liar.
Warga membuat topeng singa dan menari mengelilingi kampung.
Sejak itu gangguan reda, dan tradisi disebut Singa Depok.
Tarian ini meneguhkan keberanian bersama.",Kebersamaan; Penolak bala; Seni rakyat,betawi;singa depok;reog;kampung,Tradisi lisan Betawi,CC0 (retelling original)
CR-096,Nyi Anteh (Penunggu Bulan),Jawa,Jawa,Dongeng,Nyi Anteh; Kucing; Penenun,Nyi Anteh menenun benang di bulan ditemani kucing; bayangnya tampak pada purnama.,"Nyi Anteh terangkat ke bulan saat mengejar benang tenunnya yang melayang.
Ia menenun abadi ditemani seekor kucing.
Anak-anak menunjukkan bayang di purnama dan menyebutnya Nyi Anteh.
Kisah ini mengajarkan kesabaran dan tekun.",Sabar; Tekun; Imajinasi anak,bulan;nyi anteh;tenun;kucing,Tradisi lisan Jawa,CC0 (retelling original)
CR-097,Gunung Gamalama,Maluku Utara (Ternate),Maluku,Legenda,Gamalama; Pelaut; Penjaga Rempah,Gunung dipandang sebagai penjaga rempah; siapa tamak menebang cengkih tanpa izin sering celaka di lereng.,"Di kaki Gamalama tumbuh cengkih harum.
Gunung dianggap penjaga keadilan hasil bumi.
Orang tamak yang menjarah sering tergelincir batu-batu licin.
Warga membuat upacara syukur sebelum panen.",Syukur panen; Anti keserakahan; Hormat gunung,ternate;gamalama;cengkih;rempah,Tradisi lisan Ternate,CC0 (retelling original)
CR-098,Batu Balai,Sumatera Barat (Pariaman),Sumatra,Legenda Tempat,Hakim Adat; Pemuda; Gadis,Batu besar menyerupai balai rapat diyakini tempat sidang adat yang mendamaikan sengketa.,"Dua keluarga bersengketa soal batas sawah.
Di bawah batu besar yang mirip balai, tetua menengahi mereka.
Kesepakatan dicapai; batu itu disebut Batu Balai sebagai penanda damai.",Musyawarah; Keadilan; Rukun tetangga,pariaman;batu balai;sawah;adat,Tradisi lisan Minangkabau,CC0 (retelling original)
CR-099,Batu Kucing (Belitung),Kep. Bangka Belitung (Belitung),Sumatra,Legenda Tempat,Kucing Nelayan; Anak Kecil; Penunggu Pantai,Kucing yang setia menunggu tuannya di pantai menjadi batu; warga menyayangi hewan peliharaan.,"Seorang nelayan tak pulang-pulang, kucingnya menunggu di pantai berhari-hari.
Ombak pasang menggenang, tubuh kucing kaku seperti batu.
Warga menamai karang itu Batu Kucing agar orang ingat kesetiaan.",Kesetiaan; Sayangi hewan; Harap dan doa,belitung;batu kucing;pantai;nelayan,Tradisi lisan Belitung,CC0 (retelling original)
CR-100,Tanah Lot,Bali (Tabanan),Bali,Legenda Tempat Suci,Dang Hyang Nirartha; Ular Penjaga; Nelayan,Seorang pendeta memindahkan bongkahan tanah ke tengah laut untuk bersemadi; ular laut menjaga pura dari gangguan.,"Dang Hyang Nirartha berkelana di pesisir dan menemukan batu menjorok ke laut.
Ia memohon batu itu bergeser menjadi pulau kecil agar dapat bersemadi.
Ular laut diciptakan sebagai penjaga pura dari mara bahaya.
Tempat itu dinamai Tanah Lot, pertemuan tanah dan laut.",Keteguhan iman; Penjagaan; Harmoni alam-spiritual,tanah lot;nirartha;pura;ular laut,Tradisi lisan Bali,CC0 (retelling original)
